Year,World Population,Yearly Change,Net Change,Density (P/Km²),Urban Pop,Urban Pop %,Median Age,Fertility Rate
2020,"7,79,47,98,739",1.05%,"8,13,30,639",52,"4,37,89,93,944",56%,30.9,2.47
2019,"7,71,34,68,100",1.08%,"8,23,77,060",52,"4,29,94,38,618",56%,29.8,2.51
2018,"7,63,10,91,040",1.10%,"8,32,32,115",51,"4,21,98,17,318",55%,29.8,2.51
2017,"7,54,78,58,925",1.12%,"8,38,36,876",51,"4,14,01,88,594",55%,29.8,2.51
2016,"7,46,40,22,049",1.14%,"8,42,24,910",50,"4,06,06,52,683",54%,29.8,2.51
2015,"7,37,97,97,139",1.16%,"8,45,06,374",50,"3,98,14,97,663",54%,30,2.52
2014,"7,29,52,90,765",1.17%,"8,47,08,789",49,"3,90,28,31,934",53%,,
2013,"7,21,05,81,976",1.19%,"8,47,53,917",48,"3,82,49,90,329",53%,,
2012,"7,12,58,28,059",1.20%,"8,46,33,758",48,"3,74,78,42,586",53%,,
2011,"7,04,11,94,301",1.21%,"8,43,70,698",47,"3,67,14,23,872",52%,,
2010,"6,95,68,23,603",1.22%,"8,40,56,510",47,"3,59,48,68,146",52%,28,2.58
2009,"6,87,27,67,093",1.23%,"8,36,78,407",46,"3,51,68,30,263",51%,,
2008,"6,78,90,88,686",1.24%,"8,31,42,076",46,"3,43,97,19,128",51%,,
2007,"6,70,59,46,610",1.24%,"8,24,28,777",45,"3,36,36,09,560",50%,,
2006,"6,62,35,17,833",1.25%,"8,16,10,806",44,"3,28,94,46,226",50%,,
2005,"6,54,19,07,027",1.25%,"8,07,47,638",44,"3,21,59,05,863",49%,27,2.65
2004,"6,46,11,59,389",1.25%,"7,99,74,275",43,"3,14,30,44,892",49%,,
2003,"6,38,11,85,114",1.26%,"7,94,11,926",43,"3,07,17,43,997",48%,,
2002,"6,30,17,73,188",1.27%,"7,91,46,582",42,"3,00,18,08,223",48%,,
2001,"6,22,26,26,606",1.29%,"7,91,32,783",42,"2,93,30,78,510",47%,,
2000,"6,14,34,93,823",1.31%,"7,92,54,768",41,"2,86,83,07,513",47%,26,2.78
1999,"6,06,42,39,055",1.33%,"7,94,45,113",41,"2,80,82,31,655",46%,,
1998,"5,98,47,93,942",1.35%,"7,97,48,154",40,"2,74,92,13,598",46%,,
1997,"5,90,50,45,788",1.38%,"8,01,53,837",40,"2,69,08,13,541",46%,,
